destination_port,duration,packet_count,byte_count,connection_rate,threat_label
53,31106,4,180,257.185109,BENIGN
53,266,2,70,15037.5939849624,BENIGN
53,61093,4,156,98.2109243285,BENIGN
53,24383,1,46,82.0243612353,BENIGN
49502,999738,2,0,2.000524137,BENIGN
54925,208,1,0,9615.384615,BENIGN
443,213312,12,1673,89.0714071407,BENIGN
443,2573546,13,1273,9.3256541752,BENIGN
443,116960960,27,1204,0.5215415469,BENIGN
443,15366656,36,1524,6.442520741,BENIGN
53,60853,1,56,32.86608713,BENIGN
52155,3,2,37,666666.666666667,BENIGN
443,133373,9,529,112.4665412,BENIGN
443,5759753,6,611,1.7361855621,BENIGN
443,666485,23,705,78.0212607936,BENIGN
443,62386758,7,169,0.144261383,BENIGN
53,23707,2,64,168.7265365,BENIGN
34620,85,1,0,23529.41176,BENIGN
443,18718128,24,3164,3.0986004583,BENIGN
53,48877,1,45,40.91904168,BENIGN
53,3047167,2,109,1.31269471,BENIGN
443,10140551,7,854,1.5778235325,BENIGN
53,30186,1,55,66.25588021,BENIGN
53,154,2,88,25974.025974026,BENIGN
53,318,2,64,12578.61635,BENIGN
123,23834,1,48,83.9137366787,BENIGN
10594,3,2,31,666666.6667,BENIGN
443,68742271,13,1391,0.305488889,BENIGN
53,182,2,72,21978.021978022,BENIGN
80,112,2,12,17857.1428571429,BENIGN
53,24098,2,78,165.9888787451,BENIGN
53,188,2,76,21276.5957446809,BENIGN
53,245,2,68,16326.53061,BENIGN
53,48418,1,59,41.30695196,BENIGN
443,4478348,6,953,2.902856142,BENIGN
53,153,2,88,26143.7908496732,BENIGN
53,51062,2,82,78.33614038,BENIGN
80,118,2,0,16949.15254,BENIGN
80,106091,6,663,103.6845727,BENIGN
443,496706,2,12,4.0265267583,BENIGN
50557,32,1,6,62500.0,BENIGN
53,30987,1,51,64.5431955336,BENIGN
40590,1884,4,424,3715.498938,BENIGN
53,40707,1,46,49.13159899,BENIGN
56260,52,1,0,38461.53846,BENIGN
443,1147235,14,941,25.2781688146,BENIGN
53,177,2,76,22598.87006,BENIGN
65460,4,2,12,500000.0,BENIGN
46854,1,2,14,2000000.0,BENIGN
55434,3,2,12,666666.666666667,BENIGN
80,406172,5,1080,19.6960893415,BENIGN
53,37414,4,176,160.3677768,BENIGN
53483,49,1,6,40816.32653,BENIGN
443,744108,5,960,14.7828003462,BENIGN
58250,89,1,0,22471.9101123596,BENIGN
45396,58,2,31,51724.1379310345,BENIGN
53,230,2,68,17391.3043478261,BENIGN
80,140158,2,12,14.26961001,BENIGN
443,5705464,9,674,2.804329324,BENIGN
53,38939102,2,133,0.1027245056,BENIGN
50034,5,3,77,600000.0,BENIGN
2918,4,2,0,500000.0,BENIGN
45714,3951,2,38,759.3014427,BENIGN
21,141464,18,200,303.9642594582,BENIGN
80,5338110,4,439,1.498657765,BENIGN
54662,271,3,43,14760.1476,BENIGN
443,283618,22,822,141.0347721231,BENIGN
53,188,2,90,21276.5957446809,BENIGN
80,122,2,0,16393.44262,BENIGN
53,48482,4,188,123.7572707,BENIGN
443,65232,12,1196,291.2680892813,BENIGN
49062,37,1,0,54054.0540540541,BENIGN
53,263,2,82,15209.12548,BENIGN
53,215,2,60,18604.65116,BENIGN
123,100063,1,48,19.98740793,BENIGN
443,70,2,0,28571.42857,BENIGN
0,116015105,116,0,0.9998698014,BENIGN
51432,227,2,0,8810.5726872247,BENIGN
5631,312,2,12,9615.384615,BENIGN
54531,77,1,0,25974.025974026,BENIGN
80,121,2,0,16528.92562,BENIGN
53,213637,1,40,9.361674242,BENIGN
53,326,2,82,12269.93865,BENIGN
53,192,2,140,20833.3333333333,BENIGN
53,24271,2,68,164.8057352,BENIGN
53,198,2,86,20202.0202,BENIGN
62317,3,2,37,666666.666666667,BENIGN
42116,53,1,0,37735.84906,BENIGN
53,157,2,78,25477.7070063694,BENIGN
80,5306,2,0,376.9317753,BENIGN
57485,32,1,0,62500.0,BENIGN
80,29157,1,0,68.59416264,BENIGN
53189,2,3,31,1500000.0,BENIGN
61400,596,1,0,3355.7046979866,BENIGN
53,214,2,140,18691.58879,BENIGN
53,269,2,62,14869.8884758364,BENIGN
37698,289,2,0,6920.415225,BENIGN
53,31295,2,76,127.8159450391,BENIGN
443,83,2,0,24096.38554,BENIGN
443,61853013,15,986,0.4526861125,BENIGN
80,48751,5,1590,225.6363972021,BENIGN
53,49393,4,176,121.4747029,BENIGN
53,109544,2,68,36.51500767,BENIGN
64398,3,2,37,666666.666666667,BENIGN
53,216,2,62,18518.51852,BENIGN
80,116026203,16,324,0.2585622836,BENIGN
53,31683,2,122,126.2506707067,BENIGN
53,178,2,60,22471.9101123596,BENIGN
53,108960,4,180,73.42143906,BENIGN
53,61477,2,90,65.0649836524,BENIGN
53,23787,1,66,84.07953924,BENIGN
80,22482,2,0,88.96005693,BENIGN
443,135,2,12,14814.81481,BENIGN
61771,67,1,0,29850.74627,BENIGN
53,48460,4,132,123.8134544,BENIGN
443,5832813,5,123,1.0286631853,BENIGN
53,11011245,2,129,0.3632650077,BENIGN
53,23639,1,46,84.6059477981,BENIGN
57636,89021,2,258,33.6999135,BENIGN
57067,3,2,12,666666.6667,BENIGN
80,224,2,12,8928.5714285714,BENIGN
53,70914,2,96,56.40635136,BENIGN
53,224,2,72,17857.14286,BENIGN
80,3342070,3,6,1.795294533,BENIGN
48684,3,2,31,666666.6667,BENIGN
443,90092981,11,975,0.2552918079,BENIGN
443,5532505,7,599,1.8074994962,BENIGN
443,31421895,11,738,0.731973676,BENIGN
53,236,2,134,16949.1525423729,BENIGN
80,47550549,72,1974,4.2270805328,BENIGN
80,1043222,1,6,4.7928437092,BENIGN
53,47891,1,47,41.76150007,BENIGN
51303,18,1,0,111111.1111,BENIGN
53,78240,1,58,25.56237219,BENIGN
53,89857,2,66,44.51517411,BENIGN
53,206,2,92,19417.4757281553,BENIGN
55285,4,3,253,750000.0,BENIGN
53,31688,2,70,126.2307498,BENIGN
53,30907,2,78,129.4205196234,BENIGN
53,169,2,80,23668.6390532544,BENIGN
53,71709,1,44,27.89050189,BENIGN
443,43,2,12,46511.6279069767,BENIGN
443,10243692,12,5666,2.635768432,BENIGN
443,117557172,41,1075,0.774091435,BENIGN
60288,118,1,0,16949.15254,BENIGN
53,181,2,168,22099.4475138122,BENIGN
53,30579,1,56,65.404362471,BENIGN
443,1692967,3,0,1.7720369033,BENIGN
389,169,2,328,23668.6390532544,BENIGN
51318,16,1,0,125000.0,BENIGN
443,352389,8,1934,45.40436847,BENIGN
80,178379,5,406,44.8483285589,BENIGN
443,6669738,23,1912,6.1471679997,BENIGN
53,2465737,2,91,1.6222330281,BENIGN
53,155,2,100,25806.4516129032,BENIGN
53,61108,2,64,65.45787786,BENIGN
56743,31,1,0,64516.12903,BENIGN
80,5436234,3,12,0.7358034993,BENIGN
80,39438,1,0,50.71251078,BENIGN
53,78728,2,94,50.80784473,BENIGN
53,135,2,64,29629.6296296296,BENIGN
80,4841007,2,1,0.619705776,BENIGN
53361,4,1,0,500000.0,BENIGN
123,16397,1,48,121.9735317436,BENIGN
443,10258328,9,3218,2.04711723,BENIGN
61387,1158,2,0,2590.673575,BENIGN
443,119133120,52,4111,1.074428337,BENIGN
52635,48,2,0,41666.66667,BENIGN
53,488,1,60,4098.3606557377,BENIGN
52669,79,1,0,25316.4556962025,BENIGN
53,90769,2,82,44.06790865,BENIGN
53,157,2,96,25477.7070063694,BENIGN
53,846,2,86,4728.132388,BENIGN
443,5821079,6,599,1.717894569,BENIGN
443,146855,3,18,34.0471894045,BENIGN
443,5248873,8,346,2.667239234,BENIGN
80,15971355,8,846,0.8139572378,BENIGN
443,116578056,27,1206,0.48894279,BENIGN
53,30397,1,46,65.79596671,BENIGN
53,76985,2,86,51.9581736702,BENIGN
443,115448202,20,4097,0.29450437,BENIGN
53,256,2,64,15625.0,BENIGN
53,61874,1,56,32.32375473,BENIGN
80,185,2,12,10810.81081,BENIGN
55008,4,2,0,500000.0,BENIGN
53,30322,1,51,65.9587098476,BENIGN
443,3,2,12,666666.6667,BENIGN
53,160,2,72,25000.0,BENIGN
53,550694,2,95,7.2635619782,BENIGN
443,114423211,12,0,0.2272266245,BENIGN
123,94266,1,48,21.2165574014,BENIGN
53,23917,2,80,167.245055818,BENIGN
80,5482634,3,0,0.729576331,BENIGN
443,15195547,9,1510,1.250366308,BENIGN
80,115967836,17,442,0.27593858,BENIGN
22,1436605,35,2632,52.20641721,BENIGN
80,113900,5,1514,96.57594381,BENIGN
53,165,2,86,24242.4242424242,BENIGN
80,48763,3,844,143.5514632,BENIGN
80,60088756,9,310,0.299556875,BENIGN
53,23806,2,60,168.0248677,BENIGN
443,191605,2,1,20.87628193,BENIGN
53,108067,1,48,18.5070373,BENIGN
55452,283,1,0,7067.1378091873,BENIGN
63525,103106,2,6,29.0962698582,BENIGN
443,41345980,15,2076,0.653026002,BENIGN
443,95175,2,0,31.5208825847,BENIGN
80,101260898,14,431,0.2765134475,BENIGN
443,63353785,7,169,0.142059389,BENIGN
54501,97,1,6,20618.5567010309,BENIGN
53,60406,4,156,99.32788134,BENIGN
38523,72,1,0,27777.77778,BENIGN
53,24176,2,66,165.4533421575,BENIGN
443,58384648,15,798,0.479578125,BENIGN
53,238,2,74,16806.72269,BENIGN
443,4246330,2,12,0.4709949533,BENIGN
53,23981,2,82,166.7987156499,BENIGN
53,200,2,80,20000.0,BENIGN
53,30860,1,54,64.8088139987,BENIGN
53,30663,1,43,65.2251899684,BENIGN
45152,4,2,0,500000.0,BENIGN
53,97956202,2,98,0.040834576,BENIGN
53,60270,4,124,99.55201593,BENIGN
53,23568,1,47,84.8608282417,BENIGN
47046,211,2,0,9478.672986,BENIGN
53,30626,1,69,65.3039900738,BENIGN
80,40576383,8,432,0.369673167,BENIGN
443,709,2,0,2820.874471,BENIGN
53,2858812,2,95,1.399182598,BENIGN
51697,3,2,31,666666.6667,BENIGN
80,115029288,19,5918,0.37381784,BENIGN
443,75413260,16,936,0.450849095,BENIGN
443,60572518,11,3892,0.3301827406,BENIGN
443,300203,10,1328,49.9661895451,BENIGN
443,4074182,5,123,1.47268826,BENIGN
53,61344,2,70,65.20605112,BENIGN
53,60565,4,188,99.0671179724,BENIGN
443,5514806,28,673,10.87980248,BENIGN
80,5237062,4,420,1.527574048,BENIGN
443,205850,13,1045,102.0160310906,BENIGN
123,61451,1,48,32.5462563669,BENIGN
53,228,2,88,17543.85965,BENIGN
53,182,2,100,21978.02198,BENIGN
53,77693,1,60,25.7423448702,BENIGN
53,214,2,76,18691.58879,BENIGN
56122,3,2,0,666666.666666667,BENIGN
53,23501,1,61,85.10276158,BENIGN
53,632190,4,152,12.65442351,BENIGN
443,8997084,3,0,0.333441368,BENIGN
38744,84,1,0,23809.52381,BENIGN
443,5013172,7,1704,2.194219548,BENIGN
443,70499981,167,3758,5.4468099786,BENIGN
53,30994,2,154,129.0572368846,BENIGN
60751,173,1,6,11560.6936416185,BENIGN
443,300124,8,779,43.31542962,BENIGN
53,533,1,40,3752.345216,BENIGN
443,5310558,8,378,2.4479536802,BENIGN
59366,3,2,31,666666.666666667,BENIGN
53,228,2,70,17543.85965,BENIGN
49100,388,2,12,5154.6391752577,BENIGN
443,225503,9,509,66.51796207,BENIGN
443,274708,10,720,54.6034334639,BENIGN
53,291,2,70,13745.70447,BENIGN
39814,48,2,0,41666.66667,BENIGN
53,32416,2,94,123.3958538993,BENIGN
443,224480,10,859,71.27583749,BENIGN
56248,21,1,6,95238.0952380952,BENIGN
443,94922,1,0,21.0699311013,BENIGN
443,101765,2,12,29.4796835847,BENIGN
53,219,2,68,18264.8401826484,BENIGN
5387,30,1,6,66666.66667,BENIGN
88,1396,7,2856,7879.65616,BENIGN
443,44963036,1,6,0.1112024553,BENIGN
53,9687,1,64,206.462269,BENIGN
443,168573,10,1328,88.9822213522,BENIGN
53,207,2,70,19323.6715,BENIGN
53,23496,1,49,85.12087164,BENIGN
80,48,2,12,41666.66667,BENIGN
443,145,2,0,13793.1034482759,BENIGN
53,246502,1,46,8.113524434,BENIGN
443,1785,2,12,1120.4481792717,BENIGN
80,69411099,14,4299,0.403393699,BENIGN
53,131144,2,102,30.5008235222,BENIGN
53,48946,2,158,81.72271483,BENIGN
48306,30,1,0,66666.6666666667,BENIGN
53,31277,4,160,191.8342552035,BENIGN
59832,4,2,0,500000.0,BENIGN
51532,4,2,31,500000.0,BENIGN
53,95158951,4,144,0.084069863,BENIGN
54198,10155,3,0,393.8946332,BENIGN
443,94,2,0,21276.5957446809,BENIGN
53,244,2,80,16393.44262,BENIGN
22,1334793,41,2728,62.18192634,BENIGN
443,343844,13,873,61.07420807,BENIGN
53,227,2,76,17621.14537,BENIGN
80,1892,2,12,1057.0824524313,BENIGN
53,293,2,90,13651.8771331058,BENIGN
64048,4,2,37,500000.0,BENIGN
53,59638,2,74,67.0713303598,BENIGN
443,5275308,9,414,2.8434358714,BENIGN
443,4503704,5,123,1.332236754,BENIGN
33872,49,1,0,40816.3265306122,BENIGN
80,49345,2,12,40.53095552,BENIGN
389,170569,28,5634,287.2737719,BENIGN
53,190,2,62,21052.63158,BENIGN
80,83975902,27,1601,0.797847935,BENIGN
443,19987585,17,3521,1.6510248737,BENIGN
443,301459,19,871,159.2256327,BENIGN
53,177,2,90,22598.8700564972,BENIGN
52929,69,1,0,28985.50725,BENIGN
56948,134,1,6,14925.3731343284,BENIGN
53,23385,1,66,85.5249091298,BENIGN
80,63978,3,443,109.4126105849,BENIGN
53,31388,2,76,127.4372371607,BENIGN
443,15341663,9,821,1.173275674,BENIGN
53,30476,1,47,65.62541016,BENIGN
443,63281742,62,4852,2.228130825,BENIGN
80,286505,2,12,6.9806809654,BENIGN
53,44237713,2,96,0.090420588,BENIGN
443,5865931,8,370,2.216186996,BENIGN
53,214,2,72,18691.58879,BENIGN
443,4023670,13,1033,5.7161745372,BENIGN
443,8137,5,37,614.4770800049,BENIGN
37336,81,1,0,24691.35802,BENIGN
443,11404213,9,755,1.666050959,BENIGN
59961,46,1,0,43478.2608695652,BENIGN
7339,1,2,0,2000000.0,BENIGN
56165,3,2,12,666666.666666667,BENIGN
53,93666,4,124,64.05739543,BENIGN
53,134068,1,51,14.917802906,BENIGN
80,116318022,16,388,0.257913602,BENIGN
42082,221,2,0,9049.7737556561,BENIGN
61983,41,1,0,48780.4878,BENIGN
443,61989393,36,4890,1.451861289,BENIGN
59270,159,1,0,25157.2327044025,BENIGN
80,6009154,3,0,0.665651105,BENIGN
63193,139,1,0,14388.4892086331,BENIGN
53,109338,2,76,36.5838043498,BENIGN
22,1400288,37,2634,56.4169656528,BENIGN
53,24090,2,64,166.0440017,BENIGN
53,60991949,2,104,0.065582426,BENIGN
52489,48,1,0,41666.66667,BENIGN
443,1229350,6,800,11.3881319396,BENIGN
3268,47350399,23,4144,0.7814084101,BENIGN
53336,69,1,0,28985.5072463768,BENIGN
49532,57,1,0,35087.7192982456,BENIGN
80,115792958,16,445,0.267719217,BENIGN
53,50332,1,101,39.73615195,BENIGN
53779,75,1,6,26666.66667,BENIGN
443,5972340,9,385,2.3441398179,BENIGN
443,15668268,8,788,1.148818746,BENIGN
57362,76,1,0,26315.7894736842,BENIGN
53,31069,2,104,128.7456951,BENIGN
443,6028625,8,376,2.156378942,BENIGN
49293,4,2,37,500000.0,BENIGN
53,31427,4,152,254.5581825,BENIGN
53,30872,1,54,64.7836227002,BENIGN
80,14601,2,0,136.9769194,BENIGN
443,4379986,5,123,1.369867392,BENIGN
53,156,2,100,25641.02564,BENIGN
53,30698,2,88,130.3016483159,BENIGN
53,163,2,68,24539.8773,BENIGN
443,5867039,9,620,2.5566559213,BENIGN
53,24420,2,68,163.8001638,BENIGN
53,59302,1,44,33.72567536,BENIGN
80,117022923,16,750,0.2563600296,BENIGN
59241,52620,2,0,57.0125427594,BENIGN
53,32023,1,54,62.4551103894,BENIGN
53,149,2,78,26845.6375838926,BENIGN
53,806,2,72,4962.779156,BENIGN
443,39979979,54,1681,4.402203413,BENIGN
80,115550790,31,318,0.5538689956,BENIGN
53,232,2,68,17241.37931,BENIGN
443,114,2,0,17543.85965,BENIGN
62716,1,2,43,2000000.0,BENIGN
53,61448,2,60,65.09569067,BENIGN
53280,3,2,31,666666.6667,BENIGN
61043,1310,1,0,1526.7175572519,BENIGN
443,34868140,163,5941,11.271034245,BENIGN
53,30574,1,62,65.41505855,BENIGN
53,100867,2,68,39.65618091,BENIGN
443,3763,3,53,797.2362477,BENIGN
443,60539567,13,689,0.412953069,BENIGN
53,177841,1,49,11.24600064,BENIGN
53,277977,4,184,21.58451958,BENIGN
53,107032400,2,92,0.0373718612,BENIGN
443,5556436,8,387,2.3396292156,BENIGN
443,1664994,3,0,3.60361659,BENIGN
53,296,2,60,13513.51351,BENIGN
53,63232,2,62,63.25910931,BENIGN
58514,35,1,6,57142.8571428571,BENIGN
80,1224,4,0,3267.9738562092,BENIGN
53,151,2,70,26490.06623,BENIGN
57704,65,2,0,46153.84615,BENIGN
443,115978213,15,1820,0.2414246545,BENIGN
443,116757522,45,1788,0.736569246,BENIGN
443,119214387,29,1020,0.5284597068,BENIGN
64605,87,2,37,34482.7586206897,BENIGN
80,5331152,3,12,0.7503068755,BENIGN
80,47083,3,441,148.6736189,BENIGN
53,83922,1,47,23.8316532018,BENIGN
80,101729,2,0,19.66007726,BENIGN
53336,78,1,6,25641.02564,BENIGN
41422,89,1,0,22471.9101123596,BENIGN
53,33494,1,74,59.71218726,BENIGN
443,48,1,0,62500.0,BENIGN
50724,53283,2,0,56.3031360847,BENIGN
53,231,2,70,17316.01732,BENIGN
53,165,2,62,24242.42424,BENIGN
138,18,13,3081,722222.222222222,BENIGN
443,4850997,5,135,1.2368591446,BENIGN
53,107100835,2,104,0.037347981,BENIGN
53,201,2,60,19900.4975124378,BENIGN
53,49412,2,94,80.9519954667,BENIGN
53,46634,1,45,42.88716387,BENIGN
53,23580,1,64,84.8176420696,BENIGN
139,104,3,4,38461.5384615385,BENIGN
53,23818,1,95,83.970106642,BENIGN
443,30126810,15,854,0.8962117131,BENIGN
53,236,2,94,16949.15254,BENIGN
53,62715269,4,132,0.1275606424,BENIGN
53,30540,1,43,65.4878847413,BENIGN
53,201,2,84,19900.49751,BENIGN
22,371,1,0,5390.83558,BENIGN
80,5561243,3,0,0.719263661,BENIGN
80,115125708,16,933,0.260584717,BENIGN
53,1158291,2,70,3.4533636193,BENIGN
80,157,2,12,12738.8535,BENIGN
53,37903183,2,103,0.1055320341,BENIGN
57193,67,3,31,44776.1194029851,BENIGN
53,215,2,88,18604.65116,BENIGN
80,5454622,3,12,0.7333230424,BENIGN
80,116409706,17,514,0.2748911676,BENIGN
443,63265533,7,169,0.142257554,BENIGN
54848,22,1,6,90909.0909090909,BENIGN
57026,52,1,0,38461.5384615385,BENIGN
53,65416,2,90,61.14711997,BENIGN
